ID,Wordform_ID,Example_ID,Index,Parameter_ID
convrisamaj-1-0,ati-what,convrisamaj-1,0,
convrisamaj-1-1,re-emp,convrisamaj-1,1,
convrisamaj-1-2,warai-like,convrisamaj-1,2,
convrisamaj-1-3,mere-2pro,convrisamaj-1,3,
convrisamaj-1-4,iniri-see-ipfv,convrisamaj-1,4,
convrisamaj-1-5,irejpe-then,convrisamaj-1,5,
convrisamaj-1-6,meyarika-2-laugh-ipfv,convrisamaj-1,6,
convrisamaj-1-7,ti-hsy,convrisamaj-1,7,
convrisamaj-2-0,meyaruwari-2-laugh-ipfv,convrisamaj-2,0,
convrisamaj-2-1,mepekepene-2-alone,convrisamaj-2,1,
convrisamaj-3-0,ejne-1-2pro,convrisamaj-3,0,
convrisamaj-3-1,pekepene-alone,convrisamaj-3,1,
convrisamaj-3-2,ejne-1-2pro,convrisamaj-3,2,
convrisamaj-3-3,yaruwaja-laugh-neg,convrisamaj-3,3,
convrisamaj-3-4,enka-right,convrisamaj-3,4,
convrisamaj-3-5,wanene-aunt,convrisamaj-3,5,
convrisamaj-4-0,wire-1pro,convrisamaj-4,0,
convrisamaj-4-1,yaruwari-laugh-ipfv,convrisamaj-4,1,
convrisamaj-4-2,jra-neg,convrisamaj-4,2,
convrisamaj-5-0,ejne-1-2pro,convrisamaj-5,0,
convrisamaj-5-1,yaruwari-laugh-ipfv,convrisamaj-5,1,
convrisamaj-5-2,tajne-3-pl,convrisamaj-5,2,
convrisamaj-5-3,yakarama-tell-acnnmlz,convrisamaj-5,3,
convrisamaj-5-4,peke-about,convrisamaj-5,4,
convrisamaj-5-5,re-emp,convrisamaj-5,5,
convrisamaj-5-6,nwa-thus,convrisamaj-5,6,
convrisamaj-5-7,re-emp,convrisamaj-5,7,
convrisamaj-5-8,nope-good,convrisamaj-5,8,
convrisamaj-5-9,esene-see-self-ipfv,convrisamaj-5,9,
convrisamaj-5-10,mare-rel-inan,convrisamaj-5,10,
convrisamaj-5-11,tawara-too,convrisamaj-5,11,
convrisamaj-5-12,neke-cntr,convrisamaj-5,12,
convrisamaj-5-13,ne-ints,convrisamaj-5,13,
convrisamaj-5-14,enka-right,convrisamaj-5,14,
convrisamaj-6-0,kwase-how,convrisamaj-6,0,
convrisamaj-6-1,ejne-1-2pro,convrisamaj-6,1,
convrisamaj-6-2,yaruwari-laugh-ipfv,convrisamaj-6,2,
convrisamaj-7-0,wire-1pro,convrisamaj-7,0,
convrisamaj-7-1,yaruwakem-laugh-acnnmlz-prop-nmlz,convrisamaj-7,1,
convrisamaj-7-2,pinire-neg,convrisamaj-7,2,
