ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
asane-2-mother-pert-0-2,sane-mother,2,asane-2-mother-pert-0,
asane-2-mother-pert-2-pert,sane-mother,pert,asane-2-mother-pert-2,
ayawori-2-lk-uncle-pert-0-2,awo-uncle,2,ayawori-2-lk-uncle-pert-0,
ayawori-2-lk-uncle-pert-3-pert,awo-uncle,pert,ayawori-2-lk-uncle-pert-3,
chijchipuru-body-movement-pert-1-pert,chijchipu-body-movement,pert,chijchipuru-body-movement-pert-1,
ijtari-3-foot-pert-0-3,jta-foot,3,ijtari-3-foot-pert-0,
ijtari-3-foot-pert-2-pert,jta-foot,pert,ijtari-3-foot-pert-2,
kasori-fat-pert-1-pert,kaso-fat,pert,kasori-fat-pert-1,
kori-brassolis-sophorae-pert-1-pert,ko-brassolis-sophorae,pert,kori-brassolis-sophorae-pert-1,
kururu-prochilodus-mariae-pert-1-pert,kuru-prochilodus-mariae,pert,kururu-prochilodus-mariae-pert-1,
kuyari-tree-sp-pert-1-pert,kuya-tree-sp,pert,kuyari-tree-sp-pert-1,
kemuru-pus-pert-1-pert,kemu-pus,pert,kemuru-pus-pert-1,
nakiri-thirst-pert-1-pert,naki-thirst,pert,nakiri-thirst-pert-1,
ntate-mouth-npert-1-npert,nta-mouth,npert,ntate-mouth-npert-1,
nuru-tongue-pert-1-pert,nu-tongue,pert,nuru-tongue-pert-1,
pakuri-arrow-tip-pert-1-pert,paku-arrow-tip,pert,pakuri-arrow-tip-pert-1,
peri-palm-sp-pert-1-pert,pe-palm-sp,pert,peri-palm-sp-pert-1,
puturu-feel-ipfv-1-ipfv,putu-feel,ipfv,puturu-feel-ipfv-1,
saparari-heavy-pot-pert-1-pert,sapara-heavy-pot,pert,saparari-heavy-pot-pert-1,
takunuru-laziness-pert-1-pert,takunu-laziness,pert,takunuru-laziness-pert-1,
tawaru-nyctidromus-albicollis-pert-1-pert,tawa-nyctidromus-albicollis,pert,tawaru-nyctidromus-albicollis-pert-1,
tawori-3-uncle-pert-0-3,awo-uncle,3,tawori-3-uncle-pert-0,
tawori-3-uncle-pert-2-pert,awo-uncle,pert,tawori-3-uncle-pert-2,
tejweti-3-hammock-pert-0-3,ejwe-hammock,3,tejweti-3-hammock-pert-0,
tejweti-3-hammock-pert-2-pert,ejwe-hammock,pert,tejweti-3-hammock-pert-2,
tepese-3-escape-pst-0-3,epe-escape,3,tepese-3-escape-pst-0,
tepese-3-escape-pst-2-pst,epe-escape,pst,tepese-3-escape-pst-2,
terepunu-3-sick-pert-0-3,erepunu-sick,3,terepunu-3-sick-pert-0,
terepunu-3-sick-pert-2-pert,erepunu-sick,pert,terepunu-3-sick-pert-2,
toti-3-meat-pert-0-3,oti-meat,3,toti-3-meat-pert-0,
toti-3-meat-pert-2-pert,oti-meat,pert,toti-3-meat-pert-2,
waraijtori-husband-pert-1-pert,waraijto-husband,pert,waraijtori-husband-pert-1,
wenaru-vomit-pert-1-pert,wena-vomit,pert,wenaru-vomit-pert-1,
weseyuru-be-brave-ipfv-1-ipfv,weseyu-be-brave,ipfv,weseyuru-be-brave-ipfv-1,
yewukuru-answer-ipfv-1-ipfv,yewuku-answer,ipfv,yewukuru-answer-ipfv-1,
ejte-house-npert-1-npert,ej-house,npert,ejte-house-npert-1,
enukuru-go-up-ipfv-1-ipfv,enuku-go-up,ipfv,enukuru-go-up-ipfv-1,
keyetajpe-grow-pst-1-pst,keyeta-grow,pst,keyetajpe-grow-pst-1,
keyetase-grow-pst-1-pst,keyeta-grow,pst,keyetase-grow-pst-1,
